Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Source,EID
"Duić M.","Visual literacy in library practice: Use of images on the Facebook pages of Croatian public libraries",2016,"Communications in Computer and Information Science","676",,,"190","201",,,10.1007/978-3-319-52162-6_19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012159457&doi=10.1007%2f978-3-319-52162-6_19&partnerID=40&md5=38975aa37c0fbdff73d47b0c16962f82","The goal of the research was to explore the specific phenomenon from the field of visual literacy: use of images on the Facebook pages of the ten Croatian public libraries. Using the content analysis, we created “image type” categories and subcategories of images that are posted by librarians and determined their shares in relation to the total number of analyzed image posts. Also, content analysis was used to determine the various roles of these images in communication with user community gathered around these Facebook pages. We created “image communication role” categories and subcategories and determined their shares in relation to the total number of analyzed image posts. While presenting the shares of “image type” and “image communication role” categories and subcategories, we also described examples of good practice with regard to the use of images in image posts. © Springer International Publishing AG 2016.",Conference Paper,Scopus,2-s2.0-85012159457
"Lopatovska I., Hatoum S., Waterstraut S., Novak L., Sheer S.","Not just a pretty picture: visual literacy education through art for young children",2016,"Journal of Documentation","72","6",,"1197","1227",,1,10.1108/JD-02-2016-0017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987892106&doi=10.1108%2fJD-02-2016-0017&partnerID=40&md5=60637c82dd6b1cebfff9cbe11e8f067c","Purpose: The purpose of this paper is to understand young children’s knowledge of visual literacy elements as well as their ability to comprehend newly introduced visual literacy concepts. The study also examined existing support for visual literacy programs from parents and educators. Design/methodology/approach: The study explored the knowledge of basic visual literacy elements of young children enrolled in two private schools in the New York City metropolitan area. The authors interviewed 17 children, aged four to six years old, about fine art paintings using a semi-structured interview format. Children’s responses were qualitatively analyzed to determine their initial level of visual literacy and their ability to learn and retain the concepts of visual literacy after receiving basic instruction. The children’s educators and parents completed online questionnaires that were quantitatively analyzed to determine their level of support for visual literacy programs. Findings: The findings show that young children exhibited extensive knowledge of simple visual literacy elements (color, shape, line), and limited understanding of more abstract elements (perspective and salience). Children’s knowledge of visual elements improved after instruction. Parents and educators expressed support for incorporating visual literacy instruction in early childhood education. Research limitations/implications: The study relied on a sample of children and adults drawn from two private schools. The sample’s demographics might have affected study findings. More studies are needed using a larger and more diverse sample. Practical implications: The study suggests that young children are ready to receive instruction on visual literacy elements using art images. Children reacted positively to the images and were engaged in the discussions about them, supporting the use of fine art paintings as an instrument to introduce visual literacy concepts to young children. Survey of children’s parents and teachers indicated strong interest in, and support for such programs. Social implications: With the increase of visual information production and consumption, it is important to introduce visual literacy early in life. The study advances research in methods for developing visual literacy instruction for young children. Originality/value: There are no previously reported studies that have examined pre-kindergarten children’s knowledge of basic visual literacy elements and reactions to visual literacy instruction. © 2016, © Emerald Group Publishing Limited.",Article,Scopus,2-s2.0-84987892106
"Bright A.","Multimodal forms: Examining text, image, and visual literacy in Daniel Handler’s why we broke up and Markus Zusak’s the book thief",2016,"Teaching Comics Through Multiple Lenses: Critical Perspectives",,,,"30","45",,,10.4324/9781315625638,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024931746&doi=10.4324%2f9781315625638&partnerID=40&md5=b1e2cdc35ec0896580f00d65321d8a8d",[No abstract available],Book Chapter,Scopus,2-s2.0-85024931746
"Westraadt G.","Deepening visual literacy through the use of metacognitive reading instruction strategies",2016,"Perspectives in Education","34","1",,"182","198",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975217349&partnerID=40&md5=1ebb5368fddf7b1c75b95f4c99b44c99","Art education develops literacy through the 'reading' of visual texts. This entails the exploration of images, how they were produced and the experience of those who view and interpret them. Multi-literacies such as the skills, knowledge and the ability to interpret varying texts and artefacts and the negotiating of meaning generated by texts develops in the process. Social semiotics explores the potential of art to develop literacy practices in which thinking through sign systems is necessary to read and produce a semiotic system or text. Learning through sign systems enables students to perceive their world in new ways, solve problems, read and write, and create interesting texts. Visual literacy studies prove to be a problem for many students. Undergraduates often find it difficult to read and interpret visual information and produce an art appreciation and analysis assignment on that information. Many education students find it difficult to analyse the art elements and visual symbols. The use of metacognitive reading strategies deepens the experience and improves the visual literacy of B.Ed. students, enabling them to present assignments of a higher quality. This achievement can positively affect their entire academic performance due to the intensification of the learning process and acuity of perception. © UV/UFS.",Article,Scopus,2-s2.0-84975217349
"Fritze Y., Haugsbakk G., Nordkvelle Y.","Visual ‘Bildung’ between iconoclasm and idolatry",2016,"Nordicom Review","37","2",,"17","31",,,10.1515/nor-2016-0015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995588012&doi=10.1515%2fnor-2016-0015&partnerID=40&md5=e228ba8b0df48e6bb1680f374af59211","The point of departure for this article is ‘the visual turn’, the proclaimed need for specific competencies, and furthermore the lack of clarity in the concepts and the lack of research that accompany the use of images. Terms like ‘visual literacy’ and “visual competence’ are compared with a concept of visual ‘Bildung’. ‘Bildung’ is presented as a concept that clearly goes beyond qualifications and a dominant market-oriented comprehension of competence. In its origin, ‘Bildung’ has obvious References to ‘image’, and it may also offer interesting new perspectives in the battle between words and images that has taken place throughout history and is a background to today’s situation. ‘Bildung’ opens up an interesting path between iconoclasm and idolatry. The article proclaims an urgent need for a visual and reflective ‘Bildung’, because images are closely related to the world in which we live today. © 2016, Nordicom. All rights reserved.",Article,Scopus,2-s2.0-84995588012
"Koscak S.","The Royal Sign and Visual Literacy in Eighteenth-Century London",2016,"Journal of British Studies","55","1",,"24","56",,,10.1017/jbr.2015.175,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963542343&doi=10.1017%2fjbr.2015.175&partnerID=40&md5=882d9d0cbc47d281d8216e21ff9a79ea","This article argues that the commercialization of monarchical culture is more complex than existing scholarship suggests. It explores the aesthetic dimensions of regal culture produced outside of the traditionally defined sphere of art and politics by focusing on the variety of royal images and symbols depicted on hanging signs in eighteenth-century London. Despite the overwhelming presence of kings and queens on signboards, few study these as a form of regal visual culture or seriously question the ways in which these everyday objects affected representations of royalty beyond asserting an unproblematic process of declension. Indeed, even in the Restoration and early eighteenth century, monarchical signs were the subject of criticism and debate. This article explains why this became the case, arguing that signs were criticized not because they were trivial commercial objects that cheapened royal charisma, but because they were overloaded with political meaning. They emblematized the failures of representation in the age of print and party politics by depicting the monarchy - the traditional center of representative stability - in ways that troubled interpretation and defied attempts to control the royal image. Nevertheless, regal images and objects circulating in urban spaces comprised a meaningful political-visual language that challenges largely accepted arguments about the aesthetic inadequacy and cultural unimportance of early eighteenth-century monarchy. Signs were part of an urban, graphic public sphere, used as objects of political debate, historical commemoration, and civic instruction. Copyright © The North American Conference on British Studies 2016.",Article,Scopus,2-s2.0-84963542343
"Sarar Kuzu T.","The impact of a semiotic analysis theory-based writing activity on students’ writing skills [Göstergebilimsel Çözümlemeye Dayalı Yazma Etkinliğinin Öğrencilerin Yazma Becerilerine Etkisi]",2016,"Egitim Arastirmalari - Eurasian Journal of Educational Research",,"63",,"37","54",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982094747&partnerID=40&md5=8049e8cd50be600db12aad362d589718","Problem Statement: In entering the world intellectually and affectively equipped, humans develop in a systemic way that encompasses both thought and art education and in which written, oral, and visual texts are important tools. In particular, visual literacy, which refers to the interpretation of elements other than written text, including images, symbols, shapes, and colors, has come into prominence through new learning approaches that emphasize the importance of using numerous stimuli. All texts convey a meaning and a message, which to comprehend requires textual analysis, the different theories and methods of which vary among various types of texts. As discussed in this article, the semiotic analysis theory provides tools for textual analysis concerning the dimensions of narrative discourse. Purpose: This study aimed to determine how a writing lecture activity based on semiotic analysis theory affects students’ writing skills. To that end, cartoon caricatures were selected as visual texts for analysis. Method: This experimental research based on pre- and post-tests was conducted with a dependent group of 40 7th-grade students in a school within Turkey’s Ministry of Education. Data collection involved having each student develop two texts for caricature analysis: one prior to an experiment based on the traditional approach, and the other after an experiment based on the semiotic method. The differences between scores received for each text by all students were analyzed. Findings: Results revealed that textual analysis based on the semiotic theory was more effective for the writing skills of students than the traditional writing method with respect to three areas of evaluation: understanding the subject, accessing the message, and multidimensional interpretation. Conclusion and Recommendations: The findings suggest that the proposed method of semiotic analysis is an alternative to traditional methods used in Turkish-language courses that can enhance the effectiveness of learning and positively affect students’ creative-writing skills. © 2016 ANI Publishing. All rights reserved.",Article,Scopus,2-s2.0-84982094747
"Svatoňová H.","Reading satellite images, aerial photos and maps: Development of cartographic and visual literacy",2016,"Current Topics in Czech and Central European Geography Education",,,,"187","208",,1,10.1007/978-3-319-43614-2_11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009689417&doi=10.1007%2f978-3-319-43614-2_11&partnerID=40&md5=009d36aef724b8f5040f136b3fa1b9fc","Digital aerial and satellite images are easily accessible for public use and frequently employed in social media. The widespread publishing of aerial and satellite images has raised questions about how non-experts interpret these images, how they are able to interpret orthogonal and oblique images and true-colour and not-true-colour images and how they contend with an absence of text or object descriptions in these documents. Research participants (11-, 15- and 19-year-old students) were asked to solve spatial tasks in images and maps of various types. Differences in the efficiency of task solution regarding various types of source documents were analysed, and the generated scores were evaluated according to the participants’ age and gender. Schoolchildren and students were asked to provide their opinions on the difficulty of reading the various image types and their preference for either maps or images as a source for acquiring information. From our study we conclude that: Age has an impact on the efficiency of image and map interpretation. Younger students, for example, 11-year-olds are better at handling tasks in images, while for 15-year-olds the difference between handling tasks in images and maps is much smaller. Lastly, 19-year-old students can better solve tasks in maps. The efficiency of interpretation varies based on gender and source material. The efficiency of solving tasks in aerial images is comparable. Eleven-year-old girls can handle tasks in maps better than boys of the same age. In the groups comprised of 15- and 19-year-olds, the boys are much more successful. The results of the evaluation of objective efficiency regarding image and map interpretation correspond with the subjective preference for maps or images: 11-year-old students prefer images; 19-year-old students prefer maps. Not-true-colour images are subjectively considered very difficult to interpret, but objective results do not confirm this. Students achieved higher scores for tasks in not-true-colour images than in true-colour images. The purpose of this research is to discover effective teaching methods in geography and to support the integration of aerial and satellite images in education. © Springer International Publishing Switzerland 2017.",Book Chapter,Scopus,2-s2.0-85009689417
"Avni E., Rotem A.","Digital competence: A net of literacies",2015,"Handbook of Research on Technology Tools for Real-World Skill Development","1",,,"13","41",,,10.4018/978-1-4666-9441-5.ch002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982829079&doi=10.4018%2f978-1-4666-9441-5.ch002&partnerID=40&md5=845b5ecfba1da2adb57ee555255beb22","This chapter presents a proposal for a conceptual framework of digital competence, which is a civil right and need and is vital for appropriate, intelligent study and functioning in the real world, through means that technology and the internet offer the citizen. Digital competence in the 2010s is a multifaceted complex of a net of literacies that have been updated, reformulated and transformed under the influence of technology. The framework of the digital competency includes eight fields of digital literacies. At the top of the net is digital ethics literacy, outlines the moral core for proper use of technology; at the base are technological literacy and digital reading and writing literacy, comprising the foundation and interface for all the digital literacies, and in between are the digital literacies in these fields: information literacy, digital visual literacy, new media literacy, communication and collaboration literacy and social media literacy. These interconnected literacies compose a synergetic complex of the digital competence framework. © 2016, IGI Global. All rights reserved.",Book Chapter,Scopus,2-s2.0-84982829079
"García-Sánchez F., Cruz-Benito J., Therón R., Gómez-Isla J.","Designing and building systems and tools to analyze visual communications on social networks",2015,"ACM International Conference Proceeding Series",,,,"325","329",,,10.1145/2808580.2808629,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014762669&doi=10.1145%2f2808580.2808629&partnerID=40&md5=64b6c36de232449985b0ba51d94dee0c","This paper presents a work in progress project that implements a set of tools and systems to allow researchers performing qualitative and quantitative analysis about visual communication in social networks. This analysis is intended to discover learning by imitation patterns, the usage of visual language in non-formal contexts like social networks and to find real examples of visual conversations among users that are not related with the semantic, grammar and vocabulary of the visual language present in the images and visual expressions. In order to explain how researchers are developing these systems and tools, the paper explains an overall introduction to the problem, the aims and objectives for this work in progress, their approach to face the problems raised by this kind of analysis involving images and social networks, and explaining the core concepts related to the tools and systems that they are building to perform the analysis. © 2015 ACM.",Conference Paper,Scopus,2-s2.0-85014762669
"García-Sánchez F., Sánchez R.T., Isla J.G.","The relationships between visual communication and informal learning",2015,"ACM International Conference Proceeding Series",,,,"489","493",,,10.1145/2808580.2808654,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014749928&doi=10.1145%2f2808580.2808654&partnerID=40&md5=86b531f8412aa98da083606e97ac471a","The usage of visual communication is broadly extended nowadays; with the intensive usage of social networks based (partially or totally) in sharing images and visual representations, people has adopted this kind of communication as normal and develops new dimensions in the knowledge, understanding and communicating processes even without knowing clearly about this kind of communication. The usage of this visual signs and messages require in some way learning from the stakeholders involved in the communication or other information sources, and it has observed that visual communication users learn usually in a informal way and mostly by imitating the communication patterns used by influential people. This paper explains the relationships between the current usage of visual communication (and its learning) and the informal learning, explaining some examples about the relationship and main issues, and how this learning takes places in non formal and informal contexts.",Conference Paper,Scopus,2-s2.0-85014749928
"Woyshner C., Schocker J.B.","Cultural Parallax and Content Analysis: Images of Black Women in High School History Textbooks",2015,"Theory and Research in Social Education","43","4",,"441","468",,4,10.1080/00933104.2015.1099487,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948957918&doi=10.1080%2f00933104.2015.1099487&partnerID=40&md5=6ebc1f425b3cc5ff7e8ed6064fb66ef0","This study investigates the representation of Black women in high school history textbooks. To examine the extent to which Black women are represented visually and to explore how they are portrayed, the authors use a mixed-methods approach that draws on analytical techniques in content analysis and from visual culture studies. Their findings reveal that Black women are marginalized in high school history textbooks. Also, the authors argue that despite this dearth of Black women, they are portrayed in a greater variety of roles in the major Black history textbook on the market for secondary students. The study concludes by deriving a framework by which others may interpret the representation of Black women in texts and other curricular materials and by challenging traditional content analyses by bringing the notion of cultural parallax to bear on the widely used content analysis methodology. Copyright © College and University Faculty Assembly of National Council for the Social Studies.",Article,Scopus,2-s2.0-84948957918
"Stevenson M., Hedberg J., Highfield K., Diao M.","Visualizing solutions: Apps as cognitive stepping-stones in the learning process",2015,"Electronic Journal of e-Learning","13","5",,"366","379",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945296021&partnerID=40&md5=d50abaca27f015f5ace5e0e921f04748","In many K-12 and higher education contexts, the use of smart mobile devices increasingly affords learning experiences that are situated, authentic and connected. While earlier reviews of mobile technology may have led to criticism of these devices as being largely for consumption, many current uses emphasize creativity and productivity, with diverse purposes ranging from blogging and social networking to near full-scale video editing, office productivity and language translation. These affordances are further made possible by the large-scale development of mobile applications (or apps). For the vast majority of mobile device users - now numbering in the billions – many of these learning experiences are informal and just-in-time, sometimes unplanned, unsanctioned by educational discourse and beyond the immediate locus of institutional control. As smart technologies become increasingly an extension of the personal, educators are faced with the question: how can we best facilitate and explicate the learning process and design relevant experiences that leverage the affordances of so many mobile devices? This paper explores how the effective use of apps enable the learning process to be visualized in ways that support meaningful and student-centered learning. The authors discuss recent developments in technology, mobile learning and multiliteracies, drawing on a range of case studies deploying mobile devices and using apps as part of learner-led inquiry processes to enable creativity, collaboration and critical thinking. Emerging from these case studies are real classroom examples, teacher-student reflections, scaffolds and working models that all speak to the importance of using apps to visualize learning and support learners at each stage of the learning process. Exploring the connections between mobile devices, media literacy and visual literacy, the paper also emphasizes the collaborative affordances of many current apps and the importance of multimodal forms of representation through gesture, voice, text, video and audio. Citing the common issues involved in deploying mobile devices in most education institutions, the authors argue the need for schools and education systems to move away from infrastructure-led developments towards more learner-led solutions. © ACPIL.",Article,Scopus,2-s2.0-84945296021
"Draper D.C.","Digital knowledge mapping as an instructional strategy to promote visual literacy: A case study",2015,"Essentials of Teaching and Integrating Visual and Media Literacy: Visualizing Learning",,,,"219","236",,,10.1007/978-3-319-05837-5_11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944599065&doi=10.1007%2f978-3-319-05837-5_11&partnerID=40&md5=7b81786f041ca503ace18398107dcb61","This case study discusses the effectiveness of concept mapping and graphic organizers as an instructional strategy to promote visual literacy in an online graduate-level course. The challenge for teachers is to select instructional strategies that integrate visual literacy into the curriculum. Students utilizing visual thinking strategies to interpret and produce visuals will help foster a higher level of learning. Knowledge mapping as an instructional strategy promotes meaningful learning. Digital knowledge mapping offers the potential to link knowledge of complex theories and concepts to text, images, websites, virtual learning environments, and audio and video resources. Graphic organizers are knowledge visualization tools that support meaningful learning. Gowin’s Knowledge Vee diagram facilitates students’ use of their metacognitive processes to newly acquired information in order to make meaningful connections. In 1984, Novak and Gowin presented two constructivist techniques for learning: concept maps and the Knowledge Vee diagram. The Knowledge Vee enables students not only to understand the structure and meaning of knowledge but also in making important learning connections. A content analysis was used to examine the presence of themes within students’ final digital knowledge map justification assignment that provided insights on students’ thought processes, creation, and justification of concept map topics used to provide evidence of higher thinking levels and visual literacy approaches. The chapter discusses the study results and recommends instructional strategies to promote visual literacy. © Springer International Publishing Switzerland 2015.",Book Chapter,Scopus,2-s2.0-84944599065
"George-Hirons A.","Yokol cab: Mayan translation of European astrological texts and images in the book of Chilam Balam of Kaua",2015,"Ethnohistory","62","3",,"525","552",,4,10.1215/00141801-2890221,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947586081&doi=10.1215%2f00141801-2890221&partnerID=40&md5=86e31f414a3a24458b8f8b32dce7e7fa","When we consider questions of alphabetic, cultural, and visual literacy in colonial Mesoamerica, an analysis of the way in which the producers of the Book of Chilam Balam of Kaua appropriated European astronomical texts and images from medieval reportorios demonstrates much about how Mayan scribes and illustrators understood European astrology and the importance that the Maya placed on both visual representations and Spanish textuality. These excerpts served a didactic purpose of teaching European conceptions of astrology and astronomy to a Mayan audience via a deliberate textual and visual translation process. © 2015 by American Society for Ethnohistory.",Article,Scopus,2-s2.0-84947586081
"Finch J.A.","Visual literacy and art history: Teaching images and objects in digital environments",2015,"Essentials of Teaching and Integrating Visual and Media Literacy: Visualizing Learning",,,,"251","264",,,10.1007/978-3-319-05837-5_13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944585514&doi=10.1007%2f978-3-319-05837-5_13&partnerID=40&md5=ebbd4317398431641326778516a63d30","Though the image is central to the discipline, art history has not contributed extensively to the definition and practice of visual literacy studies. This chapter identifies an intersection between the two fields by examining the role of digital reproduction in the study of art history, particularly the ways in which reproductions of art objects and architecture in online digital environments provide an egalitarian space for students and teachers to hold discussion beyond the classroom. First, this chapter provides a brief examination of art history’s pedagogical practices as they relate to visual literacy studies. Then, four activities and assignments are presented which highlight the digitized object as a pedagogical tool. Students demonstrate visual and media literacy in assignments that make use of familiar apps like Instagram to perform traditional art historical methods of evaluating images, such as visual analysis and iconography, on the digitally reproduced image. Instructors guide students through web sites that host digitized objects, meeting their students, for example, in a medieval cathedral and discussing the articulation of the digital space. Through these activities, art history instructors capitalize on students’ technological abilities as digital natives while providing them with perspective on image-based technologies of previous eras. Although the focus is on students in a traditional higher education environment, many of the exercises presented can be modified for a younger learner base or the nontraditional higher education student. © Springer International Publishing Switzerland 2015.",Book Chapter,Scopus,2-s2.0-84944585514
"Danzak R.L.","""Sometimes the perspective changes"": Reflections on a photography workshop with multicultural students in Italy",2015,"International Journal of Multicultural Education","17","3",,"56","75",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949636863&partnerID=40&md5=8ce71abb1aa3d04092c84b7da547ee68","This article describes and evaluates an 8-week photography workshop, FotoLab, conducted in Italy at an afterschool-tutoring program for students acquiring Italian as an additional language. Seventeen students, age 8-17 and originating from 9 countries, participated. Co-facilitated by three international educator-researchers, FotoLab's purpose was to promote self-expression, collaboration, and visual literacy. Through a qualitative inquiry of the FotoLab curriculum, photographs and videos, field notes, and student questionnaires, this article reflects on themes of multiculturalism and multilingualism, collaboration, and visual literacy within a sociocultural animation framework. While expressions of cultural and linguistic identity emerged, findings emphasize the challenges and benefits of teamwork and shared learning. Participants expressed growth in their ability to create and interpret images, a perception affirmed in weekly presentations of their photographs and in a culminating, community event. Overall, outcomes highlight the flexible and dynamic nature of sociocultural animation as an effective practice for multicultural-multilingual contexts.",Article,Scopus,2-s2.0-84949636863
"Raneri A., Matusitz J.","Source Representation in the Communication of Childhood Immunisation",2015,"Child Care in Practice","21","2",,"114","127",,,10.1080/13575279.2014.966651,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927784419&doi=10.1080%2f13575279.2014.966651&partnerID=40&md5=70e0a520e86bb64749b369ef0c867283","This study conducted a qualitative semiotic analysis of 36 images that appeared on www.google.com and www.yahoo.com. The ultimate objective is to reveal source representation and fear appeals in online images to see what information is being provided to the decision-makers in immunisation behaviour. Drawing on principles of visual literacy theory, the authors looked for important themes regarding who is being represented and how information is being portrayed through the images. This analysis revealed three key findings: online images are rife with information presented or supported by the Center for Disease Control and Prevention (CDC), other governmental agencies, and views from healthcare professionals; images displayed a strong use of both high and low fear appeals (although intent to support or oppose immunisations was most often undetermined) and a high use of gain frames in support of immunisations; and the use of graphs and charts, consisting of the CDC's recommended immunisation schedule, was a dominant theme in images from both online search engines. © 2014 The Child Care in Practice Group.",Article,Scopus,2-s2.0-84927784419
"Soyer M.K.","Visual literacy, psychological counseling and phototherapy: A model application",2015,"Egitim ve Bilim","40","181",,"231","240",,,10.15390/EB.2015.2798,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948181046&doi=10.15390%2fEB.2015.2798&partnerID=40&md5=f4fdeaa634f1c5d37b9e1dbe71e9125c","Phototherapy is generally described as the use of photography, a visual image, for the communication in the process of therapy/counseling. The purpose of this study is to introduce the phototherapy technique as a method which will increase therapeutic communication in the process of psychological counseling and to present an example for training purposes based on the use of the technique. The study was conducted in the phenomenology design, one of the qualitative research patterns. The study group was comprised of nine senior students who have been in the department of psychological counseling and guidance. The data were collected with the structured interview technique using photography. As a result of the application, it was observed that the use of photography enabledthe initiation and deepening of communication among the group members. ̄n respect to the meaning of the photos chosen, eight members of the study group have brought a photo with a positive meaning and one has brought a photo with a negative meaning. ̄t was inspected that each participant clearly and thoroughly remembered the story of the photo he brought fort he study and expressed that they had the same feeling at the moment. It was found that each member attributed a different meaning and created a different story for the same photo. The findings were discussed in the light of the literature and suggestions were made based on this.",Article,Scopus,2-s2.0-84948181046
"Zbaracki M.D.","A global lens for viewing children’s literature",2015,"Second International Handbook on Globalisation, Education and Policy Research",,,,"807","816",,,10.1007/978-94-017-9493-0_48,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943303266&doi=10.1007%2f978-94-017-9493-0_48&partnerID=40&md5=2f5ae27c15d402bedfd4df5c63ac45d0","Children’s literature is a complex field and when examined globally there are many trends and issues that emerge. This is especially true when illustrations are the focus. From picture books to comics and graphic novels, visuals in children’s literature are being used more and more in innovative and creative ways. This chapter explores the different trends in children’s literature within the use of such visuals. Specially examined is the idea of visual literacy, the ability to interpret images found in a text, and the impact this has on children’s reading. A new genre entitled “blended narratives”, a new genere which incorporates elements of picture books, comics, and graphic novels into a more traditional novel format, is also introduced showing how it is being found around the world. A plethora of titles from around the globe are showcased to exemplify the importance of how visual literacy and illustrations work in conjunction to tell a story and engage children in reading. © Springer Science+Business Media B.V. 2015.",Book Chapter,Scopus,2-s2.0-84943303266
"Mattock L.K.","Teaching visual and media literacy skills through media production technology",2015,"Essentials of Teaching and Integrating Visual and Media Literacy: Visualizing Learning",,,,"237","249",,,10.1007/978-3-319-05837-5_12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944597212&doi=10.1007%2f978-3-319-05837-5_12&partnerID=40&md5=3a06df5f03b2e87a165be6411051c46f","Information professionals such as archivists and librarians are faced with the challenge of preserving, describing, and providing access to information encoded on a variety of media, both text based and visual. While the visual and media literacy discourse recognizes the role of information professionals in visual, media, and information literacy education, the literature contains few pedagogical approaches those charged with training informational professionals at the graduate level. This chapter discusses one approach to visual and media literacy instruction in the Moving Image Archives course offered at the University of Pittsburgh School of Information Sciences, and suggests one method for visual and media literacy instruction at the graduate level. This technology-based approach addresses the “designing and creating” competencies from the Association of College and Research Libraries Visual Literacy Competency Standards for Higher Education, creating an environment that simulates production by introducing students to the tools and technologies of media production. This approach could also be used in other academic disciplines, such as film and media studies, where students learn to analyze and interpret specific media products, but do not engage directly with the technologies used to create these images. © Springer International Publishing Switzerland 2015.",Book Chapter,Scopus,2-s2.0-84944597212
"Pantaleo S.","Language, Literacy and visual Texts",2015,"English in Education","49","2",,"113","129",,1,10.1111/eie.12053,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930686763&doi=10.1111%2feie.12053&partnerID=40&md5=66101c8188969459b2f7cc3efa2cc378","Explicit pedagogy that focuses on visual design and composition principles can affect students' responses to and understanding, interpretation and analysis of images, as well as the creation of their own visual representations. This article considers the why, the what, and the how of teaching various visual elements of art and design to students through the description of two classroom-based studies. Multimodality, social semiotics, visual literacy and sociocultural theory framed the studies described in this article. As well as explaining some of the activities that the students engaged in during the studies, this article features examples of students' written responses to various picturebooks and graphic novels. The students' text-based writing reveals their knowledge, appreciation and interpretation of various visual elements of art and design. The article concludes with a discussion of the need for teachers and researchers to include and value the teaching of visual texts in language and literacy curricula. © 2014 National Association for the Teaching of English.",Article,Scopus,2-s2.0-84930686763
"Dallacqua A.K., Kersten S., Rhoades M.","Using Shaun Tan's work to foster multiliteracies in 21st-century classrooms",2015,"Reading Teacher","69","2",,"207","217",,3,10.1002/trtr.1395,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940787374&doi=10.1002%2ftrtr.1395&partnerID=40&md5=63cd3f30f1a112c2a0b2a07c02c4c2fe","This paper explores work in multimodality and design as it relates to 21st century multiliteracies. After outlining the concept of a multiliteracies pedagogy, this paper describes multimodality and multimodal texts. Moving from the theoretical to the practical, this paper primarily explores selected multimodal works of Shaun Tan and the opportunities they open to bring a multiliteracies pedagogy to classrooms. It provides approachable pedagogical strategies that can be successful in a variety of classrooms. We conclude that Tan's work ultimately acts as an accessible resource for educators striving to employ multiliteracies practices and bring multimodal texts into their classrooms. © 2015 International Literacy Association.",Review,Scopus,2-s2.0-84940787374
"Rodríguez Estrada F.C., Davis L.S.","Improving Visual Communication of Science Through the Incorporation of Graphic Design Theories and Practices Into Science Communication",2015,"Science Communication","37","1",,"140","148",,12,10.1177/1075547014562914,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921452421&doi=10.1177%2f1075547014562914&partnerID=40&md5=df5150aea39312621123a28c564ef948","Visual culture is becoming an increasingly prominent part of our cultural identity in the 21st century. Consequently, images have become an important tool with which to communicate science. We identify two impediments to science communicators using visual elements effectively: (1) visual material is typically treated as an add-on instead of being an integrated part of the whole and (2) there is a lack of identifying target audiences and refining visual elements for them specifically. We argue that science communicators can become more effective visual communicators if they incorporate elements of theory and practice from the discipline of design. © 2014 SAGE Publications.",Article,Scopus,2-s2.0-84921452421
"Buelow S.","Visual to Print Transfer: A Literacy Strategy for Theme Analysis of Text",2015,"Reading Teacher","69","3",,"277","280",,,10.1002/trtr.1412,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945440064&doi=10.1002%2ftrtr.1412&partnerID=40&md5=28e93438450e200812cff5ce687dfb90","This article shares a literacy strategy to support students' analysis of the theme of text and provide evidence to support their assertion. The strategy is called Visual to Print Transfer (VPT). The VPT strategy leverages students' out-of-school literacy practices involving media images of Hollywood icons as a way to support their understanding of how the elements of text contribute to the underlying theme in visual images and in literature. Student work samples are provided to highlight the strategy in practice. © 2015 International Literacy Association.",Article,Scopus,2-s2.0-84945440064
